State_TW,State_EN,Gender,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
敘利亞,(SYRIAN ARAB),Female,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
泰國,(THAILAND),Male,"6,024",844,"14,881","9,024","4,381","2,849",469,"1,373","1,384","5,196","1,262","1,375",973,443,8,329,8,105,288,30,99,15
泰國,(THAILAND),Female,"2,443",747,"4,110","1,594",954,903,74,541,486,939,575,210,271,163,16,72,2,177,275,26,8,1
帝汶,(TIMOR),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帝汶,(TIMOR),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
土耳其,(TURKEY),Male,45,54,24,44,13,16,1,10,1,1,0,0,3,2,0,1,0,3,7,1,0,0
土耳其,(TURKEY),Female,9,19,7,5,9,1,0,3,2,0,0,0,1,0,0,0,0,0,4,0,0,0
越南,(VIETNAM),Male,"16,071","1,536","21,186","26,520","12,361","11,289","1,448","3,588","2,705","16,283","2,261","4,500","2,566","2,464",108,193,21,474,"1,189",202,28,40
越南,(VIETNAM),Female,"16,581","4,079","15,250","11,818","7,492","8,143","1,380","3,034","2,646","6,775","1,777","2,437","1,623","1,830",266,492,68,853,"1,472",360,66,16
孟加拉,(BANGLADESH),Male,10,8,8,10,6,1,0,0,1,1,0,2,0,0,0,3,0,0,4,0,0,0
孟加拉,(BANGLADESH),Female,2,6,1,1,2,0,0,0,1,1,0,1,1,0,0,3,0,1,0,0,0,0
阿曼,(OMAN),Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿曼,(OMAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉里巴斯,(KIRIBATI),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉里巴斯,(KIRIBATI),Female,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞席爾,(SEYCHELLES),Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
塞席爾,(SEYCHELLES),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吐瓦魯,(TUVALU),Male,0,0,3,0,1,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
吐瓦魯,(TUVALU),Female,2,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿拉伯聯合大公國,(UNITED ARAB),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿拉伯聯合大公國,(UNITED ARAB),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
索羅門,(SOLOMON),Male,2,1,2,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
索羅門,(SOLOMON),Female,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葉門,(YEMEN),Male,0,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
